Category Name,Delivery %,No Risk Impressions,Suitability %,Available Impressions,Viewability,VTR,CTR,VCR
Music,0.15029231430888731,3024974,0.9992253872155528,3027319,90.325,99.938,0.017,82.516
Pop Music,0.062163699837956346,1251292,0.9993179709075459,1252146,90.225,99.97399999999999,0.018,83.095
Kpop and Jpop Music,0.06185324208716403,1245512,0.9996869737748234,1245902,90.942,99.981,0.013,83.444
Rock Music,0.019947045824995003,401385,0.9991859839885291,401712,91.063,99.994,0.011,82.971
Electronic Music,0.011055146295241815,222284,0.9990606446045494,222493,89.848,99.997,0.009,82.439
Hip Hop Music,0.007599319436042528,152530,0.9974561696061314,152919,88.147,99.998,0.009,79.451
Music Festivals,0.004955976428380173,99559,0.9977551286291252,99783,93.178,99.99900000000001,0.008,86.281
Latin Music,0.0015903062464377577,31769,0.9931847312970894,31987,89.94,99.99900000000001,0.028,82.467
Country Music,0.0012947543657694505,25998,0.9981571066574522,26046,92.301,99.99900000000001,0.027,85.471
Anime,0.21923218202289216,4410239,0.9987031150149254,4415966,92.847,99.97500000000001,0.004,86.39
Television,0.05580182395996715,1120474,0.9968656499972864,1123997,95.855,99.994,0.005,91.665
Drama Film,0.045612038990770806,914286,0.9951358087847141,918755,97.479,99.996,0.004,94.516
Family Film,0.03169607433855141,638092,0.9994392669747043,638450,94.538,99.991,0.015,89.32
Movies,0.030862401094745598,618275,0.99456450050993,621654,95.502,99.996,0.007,91.021
Comedy Film,0.014461839678977274,290584,0.997531779624652,291303,94.218,99.998,0.005,89.388
Horror and Thriller Film,0.00342646339875281,67301,0.9751648192421938,69015,94.289,100,0.004,89.803
Diy,0.0809932624804813,1629696,0.9989328426411808,1631437,95.05,99.993,0.005,90.187
Home Improvement,0.03150737235944445,634404,0.9996139598423696,634649,96.7,99.998,0.002,92.607
Arts and Crafts,0.004906542067674248,98788,0.9995649138428226,98831,92.809,99.99900000000001,0.008,87.32
Education,0.09910398581175585,1993799,0.9987777014676098,1996239,94.321,99.98899999999999,0.005,88.988
Technology,0.021177713824636634,426111,0.9989005579258287,426580,92.408,99.997,0.006,85.844
Celebrity,0.07361094914315351,1479856,0.9980576447863949,1482736,93.416,99.983,0.01,87.712
Dance,0.040475805015501014,814791,0.9993769157082248,815299,91.992,99.99,0.011,84.676
Luxury,0.02406174032116477,484109,0.998852815862503,484665,95.346,99.99900000000001,0.004,90.651
Fine Arts,0.007467963131226426,150322,0.9993219167154177,150424,92.682,99.99900000000001,0.007,85.966
Drag,0.00006189649292597008,1189,0.99999,1189,93.322,100,0,85.239
Food,0.07340234122157088,1477470,0.9992830716995935,1478530,95.772,99.993,0.005,91.412
Beverages,0.009899219054161008,198950,0.997768248953083,199395,95.691,0.91,0.005,91.684
Travel,0.06838432654187879,1375735,0.9987578460426035,1377446,95.884,99.995,0.003,91.49
Outdoor,0.05701073526105238,1146887,0.9987173011947473,1148360,95.931,5.242,0.005,91.566
Automotive,0.03485153284737485,701753,0.9996339083488839,702010,94.483,99.997,0.005,88.791
Pets,0.024740164920863075,497912,0.9991451585068769,498338,94.156,99.998,0.005,88.434
Fashion,0.023910955665244735,480679,0.9980192387149551,481633,93.597,2.1340000000000003,0.003,88.064
Beauty,0.018901351907918227,379552,0.9969164175811476,380726,94.461,99.998,0.003,89.364
Sports,0.019554587928226848,393360,0.9986721945349254,393883,94.82,99.998,0.003,89.494
Fitness,0.01160602054465462,233531,0.9989562613624211,233775,94.386,1.035,0.004,88.318
Women's Fitness,0.006564307750753503,132014,0.9984419906216911,132220,94.45,99.99900000000001,0.005,88.512
Health,0.00034866758073620813,7013,0.99999,7013,92.872,0.03,0.014,84.978
Healthy Food and Drink,0.0003261341537038062,6542,0.99999,6542,95.59,100,0,89.892
Social Good,0.012583309242926766,252471,0.996082283874633,253464,95.937,99.99900000000001,0.008,91.469
Halloween,0.00033563580890094035,6742,0.9985189573459715,6752,90.96,100,0,84.257
Back to School,0.0000750461851774706,1488,0.99999,1488,92.929,100,0,84.057
