Account ID,AdGroup ID,Report Date,Adult - Suitable Impressions,Crime & Harmful Acts - Suitable Impressions,"Death, Injury & Military Conflict - Suitable Impressions","Drugs, Alcohol & Tobacco - Suitable Impressions",Hate Speech & Acts of Aggression - Suitable Impressions,Misinformation - Suitable Impressions,Online Piracy - Suitable Impressions,Profanity & Obscenity - Suitable Impressions,Debated Sensitive Social Issues - Suitable Impressions,Spam - Suitable Impressions,Terrorism - Suitable Impressions,Arms & Ammunition - Suitable Impressions,Suitable Impressions,Brand Suitability %
6117086388,186228928316,2025-11-10,59468,60055,60133,60058,60269,60278,60277,59882,60220,60276,60268,60176,58497,0.970437
6117086388,187736038042,2025-12-12,128899,129265,129100,129129,129402,129430,129427,129197,129172,129428,129429,129314,127569,0.985599
6021145596,188359075645,2025-12-29,19586,19624,19583,19561,19630,19635,19635,19585,19599,19592,19628,19581,19290,0.982429
6117086388,189766852293,2025-12-17,89550,89677,89567,89470,89719,89727,89723,89584,89668,89707,89722,89675,88843,0.990137
6021145596,188359075845,2025-12-17,70521,70526,70137,70497,71312,71398,71360,69499,71031,71323,71343,70706,65746,0.920799
6021145596,188359075645,2025-12-27,21241,21267,21227,21220,21280,21284,21281,21230,21253,21276,21281,21240,21006,0.986939
6117086388,186228928316,2025-12-20,96422,96501,96432,96343,96522,96543,96542,96382,96521,96530,96542,96505,95895,0.993267
6021145596,190765076798,2025-12-20,308733,309031,308221,307905,309313,309431,309407,307756,309239,309179,309245,308754,303316,0.980213
6021145596,188359075845,2025-12-28,78487,78547,78505,78235,78642,78662,78667,78437,78604,78647,78641,78527,77339,0.983019
6117086388,186228928316,2025-10-28,44085,44156,44103,44067,44180,44187,44185,44103,44179,44176,44184,44148,43735,0.989771
6117086388,185681161146,2025-10-15,235882,236082,235340,235322,236214,236240,236128,235849,236196,236225,236199,236095,233333,0.987661
6117086388,187144642938,2025-11-21,5775,5775,5766,5772,5778,5778,5778,5752,5773,5778,5778,5770,5723,0.990481
8698807816,999,2025-10-21,39538,39538,39538,39538,39538,39538,39538,39538,39538,39538,39538,39538,39538,0.99999
6117086388,186228928316,2025-11-04,58848,58857,58742,58729,58933,58943,58941,58550,58903,58939,58935,58854,57977,0.983611
1068691411,196291455508,2025-11-26,16687,16687,16687,16687,16687,16687,16687,16687,16687,16687,16687,16687,16687,0.99999
6117086388,185681161146,2025-10-12,223336,223995,223707,223423,224080,224119,224091,223745,224075,224097,224103,223922,221461,0.988114
6117086388,187736038042,2025-10-20,95244,95505,95397,95410,95633,95647,95632,95576,95622,95608,95640,95585,94479,0.987768
6117086388,187736038042,2025-10-22,12439,12496,12471,12468,12500,12501,12497,12490,12499,12500,12501,12486,12342,0.987281
6021145596,189902476979,2025-12-19,127524,127800,127453,127596,127769,127869,127860,127660,127597,127825,127836,127690,126260,0.987409
6117086388,186228928316,2025-11-16,116068,115478,115964,115899,116155,116179,116165,115389,115973,116171,116137,115707,114117,0.982252
6117086388,186228928316,2025-12-05,86694,86639,86549,86624,86764,86787,86786,86356,86692,86781,86775,86730,85763,0.98819
6021145596,188359075845,2025-12-21,100424,100442,100378,100205,100611,100672,100654,100183,100580,100601,100642,100394,98699,0.980392
6117086388,186228928316,2025-10-20,140339,140867,140517,140591,140905,140940,140926,140597,140885,140921,140933,140849,138952,0.985839
6021145596,188359075805,2025-12-18,46615,46703,46659,46587,46711,46726,46726,46568,46706,46715,46724,46659,46147,0.987587
6021145596,189902476979,2025-12-11,510219,508885,506420,511524,511722,514214,514097,508906,511400,514025,513734,510313,487546,0.948135
6117086388,185681161146,2025-11-18,20058,19924,20008,20013,20066,20065,20065,19980,20048,20064,20066,19985,19725,0.983006
6117086388,187736038042,2025-10-21,96616,96969,96135,96834,97063,97085,97075,96888,97063,97056,97070,96990,95012,0.978617
6021145596,188359075805,2025-12-22,34727,34817,34787,34753,34818,34826,34816,34760,34819,34808,34817,34800,34486,0.990237
8698807816,999,2025-10-19,42218,42218,42218,42218,42218,42218,42218,42218,42218,42218,42218,42218,42218,0.99999
6117086388,186228928316,2025-12-13,135091,135255,135060,134993,135314,135341,135331,134813,135130,135323,135332,135223,133630,0.987343
6021145596,188359075845,2025-12-18,89757,89944,89626,89544,90272,90343,90316,89404,90162,90263,90301,89948,86769,0.960397
